IND_CODE, IND_NAME, IND_SET1, IND_SET2, IND_SET3
A01, 农业, 农副业
A02, 林业, 农副业
A03, 畜牧业, 农副业
A04, 渔业, 农副业
A05, 农、林、牧、渔服务业, 农副业
B06, 煤炭开采和洗选业, 原材料
B07, 石油和天然气开采业, 能源
B08, 黑色金属矿采选业, 原材料, 金属
B09, 有色金属矿采选业, 原材料, 金属
B10, 非金属矿采选业, 原材料
B11, 开采辅助活动, 原材料
B12, 其他采矿业, 原材料
C13, 农副食品加工业, 农副业
C14, 食品制造业, 必需品
C15, 酒、饮料和精制茶制造业, 必需品
C16, 烟草制品业, 必需品
C17, 纺织业, 必需品, 轻工业
C18, 纺织服装、服饰业, 必需品, 轻工业
C19, 皮革、毛皮、羽毛及其制品和制鞋业, 必需品
C20, 木材加工及木、竹、藤、棕、草制品业, 农副业
C21, 家具制造业,  必需品, 轻工业
C22, 造纸及纸制品业,  必需品, 轻工业
C23, 印刷和记录媒介复制业, 轻工业
C24, 文教、工美、体育和娱乐用品制造业, 轻工业, 文娱
C25, 石油加工、炼焦及核燃料加工业, 能源, 石油工业
C26, 化学原料及化学制品制造业, 工业, 石油工业
C27, 医药制造业, 医药
C28, 化学纤维制造业, 工业, 石油工业
C29, 橡胶和塑料制品业, 工业, 石油工业
C30, 非金属矿物制品业, 原材料
C31, 黑色金属冶炼及压延加工业, 原材料, 金属
C32, 有色金属冶炼和压延加工业, 原材料, 金属
C33, 金属制品业, 工业, 金属
C34, 通用设备制造业, 工业, 金属
C35, 专用设备制造业, 工业, 金属
C36, 汽车制造业, 工业, 金属
C37, 铁路、船舶、航空航天和其它运输设备制造业, 重工业, 金属
C38, 电气机械及器材制造业,重工业, 金属
C39, 计算机、通信和其他电子设备制造业, 高科技硬件
C40, 仪器仪表制造业,高科技硬件
C41, 其他制造业, 工业
C42, 废弃资源综合利用业, 循环利用
C43, 金属制品、机械和设备修理业, 循环利用
D44, 电力、热力生产和供应业, 能源
D45, 燃气生产和供应业, 能源
D46, 水的生产和供应业, 能源
E47, 房屋建筑业, 房地产
E48, 土木工程建筑业, 房地产
E49, 建筑安装业, 房地产
E50, 建筑装饰和其他建筑业, 房地产
F51, 批发业, 销售
F52, 零售业, 销售
G53, 铁路运输业, 物品流通
G54, 道路运输业, 物品流通
G55, 水上运输业, 物品流通
G56, 航空运输业, 物品流通
G57, 管道运输业, 物品流通
G58, 装卸搬运和运输代理业, 物品流通
G59, 仓储业, 物品流通
G60, 邮政业, 物品流通
H61, 住宿业, 生活服务
H62, 餐饮业, 生活服务
I63, 电信、广播电视和卫星传输服务, 高科技硬件
I64, 互联网和相关服务, 高科技软件
I65, 软件和信息技术服务业,高科技软件
J66, 货币金融服务, 金融
J67, 资本市场服务, 金融
J68, 保险业, 金融
J69, 其他金融业, 金融
K70, 房地产业, 房地产
L71, 租赁业, 房地产
L72, 商务服务业, 其它
M73, 研究和试验发展, 高科技软件
M74, 专业技术服务业, 高科技软件
M75, 科技推广和应用服务业, 高科技软件
N76, 水利管理业, 能源
N77, 生态保护和环境治理业, 循环利用
N78, 公共设施管理业, 其它
O79, 居民服务业, 生活服务
O80, 机动车、电子产品和日用产品修理业, 循环利用
O81, 其他服务业, 生活服务
P82, 教育, 
Q83, 卫生, 生活服务
Q84, 社会工作, 生活服务
R85, 新闻和出版业, 媒体
R86, 广播、电视、电影和影视录音制作业, 媒体
R87, 文化艺术业, 文娱
R88, 体育, 文娱
R89, 娱乐业, 文娱
S90, 综合,
